,n_obs,n_violazioni,quota_violazioni,quota_attesa,kupiec_LR_stat,kupiec_pvalue
AAPL,60.0,4.0,0.06666666666666667,0.05,0.3191039444813484,0.5721466397064707
MSFT,60.0,2.0,0.03333333333333333,0.05,0.395581722144172,0.5293799067170601
NVDA,60.0,1.0,0.016666666666666666,0.05,1.872144199061756,0.17122970365550727
JPM,60.0,1.0,0.016666666666666666,0.05,1.872144199061756,0.17122970365550727
BAC,60.0,4.0,0.06666666666666667,0.05,0.3191039444813484,0.5721466397064707
GS,60.0,3.0,0.05,0.05,-0.0,1.0
XOM,60.0,8.0,0.13333333333333333,0.05,6.145282925862851,0.0131763083520261
CVX,60.0,6.0,0.1,0.05,2.4785062695295608,0.11541181455889704
JNJ,60.0,1.0,0.016666666666666666,0.05,1.872144199061756,0.17122970365550727
PFE,60.0,0.0,0.0,0.05,,
AMZN,60.0,1.0,0.016666666666666666,0.05,1.872144199061756,0.17122970365550727
TSLA,60.0,2.0,0.03333333333333333,0.05,0.395581722144172,0.5293799067170601
PG,60.0,0.0,0.0,0.05,,
KO,60.0,1.0,0.016666666666666666,0.05,1.872144199061756,0.17122970365550727
BA,60.0,2.0,0.03333333333333333,0.05,0.395581722144172,0.5293799067170601
CAT,60.0,0.0,0.0,0.05,,
SAP,60.0,0.0,0.0,0.05,,
ASML,60.0,2.0,0.03333333333333333,0.05,0.395581722144172,0.5293799067170601
